TID,DEPARTMENT,CATEGORY,SUBCATEGORY,SORT_BY,RANK_SALES_CATEGORY,PRODUCT_URL,SKU,SKU_VARIANT,PRODUCT_NAME,BRAND,GENDER,PRICE_RETAIL,PRICE_CURRENT,RETAIL_PRICE_RAW,CURRENT_PRICE_RAW,REVIEW_RATING,REVIEW_COUNT,PROMOTION,AVAILABILITY,INVENTORY_WARNING,COLOR,COLOR_CODE,RunID,RunDate,InsertUpdateTime
142453945,Men,"Shop by Occasion","Casual Weekend",NULL,NULL,https://www.nordstrom.com/s/vuori-strato-slim-fit-crewneck-tech-t-shirt/4806427,4806427,NULL,"Strato Slim Fit Crewneck Tech T-Shirt",vuori,Men,54.00,54.00,NULL,NULL,5.0,27,NULL,5667,NULL,"HEATHER CHARCOAL",021,61273,"2023-05-28 07:35:57","2023-05-28 07:36:21"
142453946,Men,"Shop by Occasion","Casual Weekend",NULL,NULL,https://www.nordstrom.com/s/ag-everett-slim-straight-leg-jeans-mozart-regular-big-tall/5945536,5945536,NULL,"Everett Slim Straight Leg Jeans",AG,Men,198.00,132.66,NULL,NULL,4.0,8,"33% off",1375,NULL,MOZART,411,61273,"2023-05-28 07:35:57","2023-05-28 07:36:21"
142453947,Men,"Shop by Occasion","Casual Weekend",NULL,NULL,https://www.nordstrom.com/s/ag-mens-graduate-tailored-straight-leg-jeans-orchestra/5945538,5945538,NULL,"Men's Graduate Tailored Straight Leg Jeans",AG,Men,198.00,138.60,NULL,NULL,4.4,7,"30% off",278,NULL,ORCHESTRA,422,61273,"2023-05-28 07:35:57","2023-05-28 07:36:21"
142453948,Men,"Shop by Occasion","Casual Weekend",NULL,NULL,https://www.nordstrom.com/s/campo-sneaker-unisex/5147308,5147308,NULL,"Campo Sneaker",Veja,Men,175.00,175.00,NULL,NULL,3.9,48,NULL,227,NULL,"EXTRA-WHITE NATURAL NATURAL",180,61273,"2023-05-28 07:35:57","2023-05-28 07:36:21"
142453949,Men,"Shop by Occasion","Casual Weekend",NULL,NULL,https://www.nordstrom.com/s/creation-cotton-graphic-tee/7207940,7207940,NULL,"Creation Cotton Graphic Tee","Billionaire Boys Club",Men,60.00,48.00,NULL,NULL,0.0,0,"20% off",69,NULL,BLACK,001,61273,"2023-05-28 07:35:57","2023-05-28 07:36:21"
142453950,Men,"Shop by Occasion","Casual Weekend",NULL,NULL,https://www.nordstrom.com/s/vuori-strato-tech-polo/5700112,5700112,NULL,"Strato Tech Polo",vuori,Men,64.00,64.00,NULL,NULL,4.7,13,NULL,1443,NULL,"CHARCOAL HEATHER",020,61273,"2023-05-28 07:35:57","2023-05-28 07:36:22"
142453951,Men,"Shop by Occasion","Casual Weekend",NULL,NULL,https://www.nordstrom.com/s/rainbow-301alts-sandal-men/2870705,2870705,NULL,"Rainbow '301Alts' Sandal",RainbowÂ®,Men,59.99,59.99,NULL,NULL,4.7,296,NULL,4642,NULL,NAVY,410,61273,"2023-05-28 07:35:57","2023-05-28 07:36:22"
142453952,Men,"Shop by Occasion","Casual Weekend",NULL,NULL,https://www.nordstrom.com/s/nordstrom-brody-driving-penny-loafer-men/5758811,5758811,NULL,"Brody Driving Penny Loafer",Nordstrom,Men,89.95,89.95,NULL,NULL,4.1,49,NULL,11084,NULL,"GREY SUEDE",031,61273,"2023-05-28 07:35:57","2023-05-28 07:36:22"
142453953,Men,"Shop by Occasion","Casual Weekend",NULL,NULL,https://www.nordstrom.com/s/rodd-and-gunn-ellerslie-linen-shirt/5076771,5076771,NULL,"Ellerslie Linen Shirt","Rodd & Gunn",Men,138.00,138.00,NULL,NULL,4.3,32,NULL,6558,NULL,SNOW,111,61273,"2023-05-28 07:35:57","2023-05-28 07:36:22"
142453954,Men,"Shop by Occasion","Casual Weekend",NULL,NULL,https://www.nordstrom.com/s/king-of-cabo-stretch-polo-shirt/7246852,7246852,NULL,"King of Cabo Stretch Polo Shirt",TravisMathew,Men,99.95,74.96,NULL,NULL,5.0,2,"25% off",61,NULL,"HEATHER EARTH RED",600,61273,"2023-05-28 07:35:57","2023-05-28 07:36:22"
